Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2018-02-04,2018,Centurion,South Africa,2.0,1.0,15.0,17.0,2.0,1.0,88.23,caught,0
2018-02-07,2018,Cape Town,South Africa,1.0,1.0,0.0,6.0,0.0,0.0,0.0,caught,0
2018-02-10,2018,Johannesburg,South Africa,1.0,1.0,5.0,13.0,1.0,0.0,38.46,caught,0
2018-02-13,2018,Gqeberha,South Africa,1.0,2.0,115.0,126.0,11.0,4.0,91.26,caught,0
2018-02-16,2018,Centurion,South Africa,2.0,2.0,15.0,13.0,3.0,0.0,115.38,caught,0
2018-07-12,2018,Nottingham,England,2.0,1.0,137.0,114.0,15.0,4.0,120.17,not out,1
2018-07-14,2018,Lord's,England,2.0,1.0,15.0,26.0,2.0,0.0,57.69,bowled,0
2018-07-17,2018,Leeds,England,1.0,1.0,2.0,18.0,0.0,0.0,11.11,caught,0
2018-09-18,2018,Dubai (DICS),Hong Kong,1.0,1.0,23.0,22.0,4.0,0.0,104.54,caught,0
2018-09-19,2018,Dubai (DICS),Pakistan,2.0,1.0,52.0,39.0,6.0,3.0,133.33,bowled,0
2018-09-21,2018,Dubai (DICS),Bangladesh,2.0,1.0,83.0,104.0,5.0,3.0,79.8,not out,1
2018-09-23,2018,Dubai (DICS),Pakistan,2.0,1.0,111.0,119.0,7.0,4.0,93.27,not out,1
2018-09-28,2018,Dubai (DICS),Bangladesh,2.0,1.0,48.0,55.0,3.0,3.0,87.27,caught,0
2018-10-21,2018,Guwahati,West Indies,2.0,1.0,152.0,117.0,15.0,8.0,129.91,not out,1
2018-10-24,2018,Visakhapatnam,West Indies,1.0,1.0,4.0,8.0,1.0,0.0,50.0,caught,0
2018-10-27,2018,Pune,West Indies,2.0,1.0,8.0,9.0,2.0,0.0,88.88,bowled,0
2018-10-29,2018,Brabourne,West Indies,1.0,1.0,162.0,137.0,20.0,4.0,118.24,caught,0
2018-11-01,2018,Thiruvananthapuram,West Indies,2.0,1.0,63.0,56.0,5.0,4.0,112.5,not out,1
2019-01-12,2019,Sydney,Australia,2.0,1.0,133.0,129.0,10.0,6.0,103.1,caught,0
2019-01-15,2019,Adelaide,Australia,2.0,1.0,43.0,52.0,2.0,2.0,82.69,caught,0
2019-01-18,2019,Melbourne,Australia,2.0,1.0,9.0,17.0,1.0,0.0,52.94,caught,0
2019-01-23,2019,Napier,New Zealand,2.0,1.0,11.0,24.0,1.0,0.0,45.83,caught,0
2019-01-26,2019,Mount Maunganui,New Zealand,1.0,1.0,87.0,96.0,9.0,3.0,90.62,caught,0
2019-01-28,2019,Mount Maunganui,New Zealand,2.0,1.0,62.0,77.0,3.0,2.0,80.51,stumped,0
2019-01-31,2019,Hamilton,New Zealand,1.0,1.0,7.0,23.0,0.0,0.0,30.43,caught,0
2019-02-03,2019,Wellington,New Zealand,1.0,1.0,2.0,16.0,0.0,0.0,12.5,bowled,0
2019-03-02,2019,Hyderabad,Australia,2.0,1.0,37.0,66.0,5.0,0.0,56.06,caught,0
2019-03-05,2019,Nagpur,Australia,1.0,1.0,0.0,6.0,0.0,0.0,0.0,caught,0
2019-03-08,2019,Ranchi,Australia,2.0,2.0,14.0,14.0,2.0,1.0,100.0,lbw,0
2019-03-10,2019,Mohali,Australia,1.0,1.0,95.0,92.0,7.0,2.0,103.26,caught,0
2019-03-13,2019,Delhi,Australia,2.0,1.0,56.0,89.0,4.0,0.0,62.92,stumped,0
2019-06-05,2019,Southampton,South Africa,2.0,2.0,122.0,144.0,13.0,2.0,84.72,not out,1
2019-06-09,2019,The Oval,Australia,1.0,1.0,57.0,70.0,3.0,1.0,81.42,caught,0
2019-06-16,2019,Manchester,Pakistan,1.0,2.0,140.0,113.0,14.0,3.0,123.89,caught,0
2019-06-22,2019,Southampton,Afghanistan,1.0,2.0,1.0,10.0,0.0,0.0,10.0,bowled,0
2019-06-27,2019,Manchester,West Indies,1.0,2.0,18.0,23.0,1.0,1.0,78.26,caught,0
2019-06-30,2019,Birmingham,England,2.0,2.0,102.0,109.0,15.0,0.0,93.57,caught,0
2019-07-02,2019,Birmingham,Bangladesh,1.0,2.0,104.0,92.0,7.0,5.0,113.04,caught,0
2019-07-06,2019,Leeds,Sri Lanka,2.0,2.0,103.0,94.0,14.0,2.0,109.57,caught,0
2019-07-09,2019,Manchester,New Zealand,2.0,2.0,1.0,4.0,0.0,0.0,25.0,caught,0
2019-08-08,2019,Providence,West Indies,,,,,,,,-,0
2019-08-11,2019,Port of Spain,West Indies,1.0,2.0,18.0,34.0,2.0,0.0,52.94,caught,0
2019-08-14,2019,Port of Spain,West Indies,2.0,1.0,10.0,6.0,2.0,0.0,166.66,run out,0
2019-12-15,2019,Chennai,West Indies,1.0,1.0,36.0,56.0,6.0,0.0,64.28,caught,0
2019-12-18,2019,Visakhapatnam,West Indies,1.0,1.0,159.0,138.0,17.0,5.0,115.21,caught,0
2019-12-22,2019,Cuttack,West Indies,2.0,1.0,63.0,63.0,8.0,1.0,100.0,caught,0
2020-01-14,2020,Wankhede,Australia,1.0,1.0,10.0,15.0,2.0,0.0,66.66,caught,0
2020-01-17,2020,Rajkot,Australia,1.0,1.0,42.0,44.0,6.0,0.0,95.45,lbw,0
2020-01-19,2020,Bengaluru,Australia,2.0,1.0,119.0,128.0,8.0,6.0,92.96,caught,0
2021-03-23,2021,Pune,England,1.0,1.0,28.0,42.0,4.0,0.0,66.66,caught,0
2021-03-26,2021,Pune,England,1.0,1.0,25.0,25.0,5.0,0.0,100.0,caught,0
2021-03-28,2021,Pune,England,1.0,1.0,37.0,37.0,6.0,0.0,100.0,bowled,0
2022-02-06,2022,Ahmedabad,West Indies,2.0,1.0,60.0,51.0,10.0,1.0,117.64,lbw,0
2022-02-09,2022,Ahmedabad,West Indies,1.0,1.0,5.0,8.0,0.0,0.0,62.5,caught,0
2022-02-11,2022,Ahmedabad,West Indies,1.0,1.0,13.0,15.0,3.0,0.0,86.66,bowled,0
2022-07-12,2022,The Oval,England,2.0,1.0,76.0,58.0,7.0,5.0,131.03,not out,1
2022-07-14,2022,Lord's,England,2.0,1.0,0.0,10.0,0.0,0.0,0.0,lbw,0
2022-07-17,2022,Manchester,England,2.0,1.0,17.0,17.0,4.0,0.0,100.0,caught,0
2022-12-04,2022,Mirpur,Bangladesh,1.0,1.0,27.0,31.0,4.0,1.0,87.09,bowled,0
2022-12-07,2022,Mirpur,Bangladesh,2.0,9.0,51.0,28.0,3.0,5.0,182.14,not out,1
2023-01-10,2023,Guwahati,Sri Lanka,1.0,1.0,83.0,67.0,9.0,3.0,123.88,bowled,0
2023-01-12,2023,Eden Gardens,Sri Lanka,2.0,1.0,17.0,21.0,2.0,1.0,80.95,caught,0
2023-01-15,2023,Thiruvananthapuram,Sri Lanka,1.0,1.0,42.0,49.0,2.0,3.0,85.71,caught,0
2023-01-18,2023,Hyderabad,New Zealand,1.0,1.0,34.0,38.0,4.0,2.0,89.47,caught,0
2023-01-21,2023,Raipur,New Zealand,2.0,1.0,51.0,50.0,7.0,2.0,102.0,lbw,0
2023-01-24,2023,Indore,New Zealand,1.0,1.0,101.0,85.0,9.0,6.0,118.82,bowled,0
2023-03-19,2023,Visakhapatnam,Australia,1.0,1.0,13.0,15.0,2.0,0.0,86.66,caught,0
2023-03-22,2023,Chennai,Australia,2.0,1.0,30.0,17.0,2.0,2.0,176.47,caught,0
2023-07-27,2023,Bridgetown,West Indies,2.0,7.0,12.0,19.0,2.0,0.0,63.15,not out,1
2023-09-02,2023,Pallekele,Pakistan,1.0,1.0,11.0,22.0,2.0,0.0,50.0,bowled,0
2023-09-04,2023,Pallekele,Nepal,2.0,1.0,74.0,59.0,6.0,5.0,125.42,not out,1
2023-09-10,2023,Colombo (RPS),Pakistan,1.0,1.0,56.0,49.0,6.0,4.0,114.28,caught,0
2023-09-12,2023,Colombo (RPS),Sri Lanka,1.0,1.0,53.0,48.0,7.0,2.0,110.41,bowled,0
2023-09-15,2023,Colombo (RPS),Bangladesh,2.0,1.0,0.0,2.0,0.0,0.0,0.0,caught,0
2023-09-17,2023,Colombo (RPS),Sri Lanka,2.0,,,,,,,-,0
2023-09-27,2023,Rajkot,Australia,2.0,1.0,81.0,57.0,5.0,6.0,142.1,caught,0
2023-10-08,2023,Chennai,Australia,2.0,1.0,0.0,6.0,0.0,0.0,0.0,lbw,0
2023-10-11,2023,Delhi,Afghanistan,2.0,1.0,131.0,84.0,16.0,5.0,155.95,bowled,0
