Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2013-06-06,2013,Cardiff,South Africa,1.0,3.0,31.0,41.0,2.0,0.0,75.6,caught,0
2013-06-11,2013,The Oval,West Indies,2.0,3.0,22.0,18.0,4.0,0.0,122.22,bowled,0
2013-06-15,2013,Birmingham,Pakistan,2.0,3.0,22.0,27.0,3.0,0.0,81.48,not out,1
2013-06-20,2013,Cardiff,Sri Lanka,2.0,3.0,58.0,64.0,4.0,1.0,90.62,not out,1
2013-06-23,2013,Birmingham,England,1.0,3.0,43.0,34.0,4.0,1.0,126.47,caught,0
2013-06-30,2013,Kingston,West Indies,1.0,3.0,11.0,21.0,0.0,1.0,52.38,caught,0
2013-07-02,2013,Kingston,Sri Lanka,2.0,4.0,2.0,5.0,0.0,0.0,40.0,caught,0
2013-07-05,2013,Port of Spain,West Indies,1.0,3.0,102.0,83.0,13.0,2.0,122.89,caught,0
2013-07-09,2013,Port of Spain,Sri Lanka,1.0,3.0,31.0,52.0,4.0,0.0,59.61,lbw,0
2013-07-11,2013,Port of Spain,Sri Lanka,2.0,3.0,2.0,5.0,0.0,0.0,40.0,caught,0
2013-07-24,2013,Harare,Zimbabwe,2.0,3.0,115.0,108.0,13.0,1.0,106.48,caught,0
2013-07-26,2013,Harare,Zimbabwe,1.0,3.0,14.0,18.0,2.0,0.0,77.77,caught,0
2013-07-28,2013,Harare,Zimbabwe,2.0,3.0,68.0,88.0,5.0,1.0,77.27,not out,1
2013-08-01,2013,Bulawayo,Zimbabwe,2.0,,,,,,,-,0
2013-08-03,2013,Bulawayo,Zimbabwe,2.0,,,,,,,-,0
2013-10-13,2013,Pune,Australia,2.0,3.0,61.0,85.0,6.0,0.0,71.76,lbw,0
2013-10-16,2013,Jaipur,Australia,2.0,3.0,100.0,52.0,8.0,7.0,192.3,not out,1
2013-10-19,2013,Mohali,Australia,1.0,3.0,68.0,73.0,9.0,0.0,93.15,caught,0
2013-10-23,2013,Ranchi,Australia,2.0,,,,,,,-,0
2013-10-30,2013,Nagpur,Australia,2.0,3.0,115.0,66.0,18.0,1.0,174.24,not out,1
2013-11-02,2013,Bengaluru,Australia,1.0,3.0,0.0,3.0,0.0,0.0,0.0,run out,0
2013-11-21,2013,Kochi,West Indies,2.0,3.0,86.0,84.0,9.0,2.0,102.38,caught,0
2013-11-24,2013,Visakhapatnam,West Indies,1.0,3.0,99.0,100.0,9.0,0.0,99.0,caught,0
2013-11-27,2013,Kanpur,West Indies,2.0,3.0,19.0,18.0,3.0,0.0,105.55,caught,0
2013-12-05,2013,Johannesburg,South Africa,2.0,3.0,31.0,35.0,5.0,0.0,88.57,caught,0
2013-12-08,2013,Durban,South Africa,2.0,3.0,0.0,5.0,0.0,0.0,0.0,caught,0
2013-12-11,2013,Centurion,South Africa,,,,,,,,-,0
2014-01-19,2014,Napier,New Zealand,2.0,3.0,123.0,111.0,11.0,2.0,110.81,caught,0
2014-01-22,2014,Hamilton,New Zealand,2.0,3.0,78.0,65.0,7.0,2.0,120.0,caught,0
2014-01-25,2014,Auckland,New Zealand,2.0,3.0,6.0,20.0,1.0,0.0,30.0,caught,0
2014-01-28,2014,Hamilton,New Zealand,1.0,2.0,2.0,10.0,0.0,0.0,20.0,caught,0
2014-01-31,2014,Wellington,New Zealand,2.0,3.0,82.0,78.0,7.0,3.0,105.12,caught,0
2014-02-26,2014,Fatullah,Bangladesh,2.0,3.0,136.0,122.0,16.0,2.0,111.47,bowled,0
2014-02-28,2014,Fatullah,Sri Lanka,1.0,3.0,48.0,51.0,4.0,1.0,94.11,bowled,0
